Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 22:27:35,02-04-2024 22:27:44,9.382s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 22:27:35,02-04-2024 22:27:44,9.124s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:27:35,02-04-2024 22:27:37,2.211s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 22:27:37,02-04-2024 22:27:39,1.228s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 22:27:39,02-04-2024 22:27:40,0.822s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 22:27:40,02-04-2024 22:27:40,0.785s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 22:27:40,02-04-2024 22:27:43,2.859s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 22:27:43,02-04-2024 22:27:44,0.698s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:27:44,02-04-2024 22:27:44,0.182s,PASSED
