Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
youtube,Chrome 123.0.0.0,,,02-04-2024 22:08:55,02-04-2024 22:09:04,8.923s,PASSED
,,,,,,,
Test Cases/open youtube,Chrome 123.0.0.0,,,02-04-2024 22:08:55,02-04-2024 22:09:04,8.712s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:08:55,02-04-2024 22:08:57,2.142s,PASSED
"navigateToUrl(""https://www.youtube.com/?themeRefresh=1"")",Chrome 123.0.0.0,,,02-04-2024 22:08:57,02-04-2024 22:08:59,2.044s,PASSED
"setText(findTestObject(""Object Repository/search youtube/Page_YouTube/input_Skip navigation_search_query""), ""katalon schedule test"")",Chrome 123.0.0.0,,,02-04-2024 22:08:59,02-04-2024 22:09:02,2.345s,PASSED
"click(findTestObject(""Object Repository/search youtube/Page_YouTube/div""))",Chrome 123.0.0.0,,,02-04-2024 22:09:02,02-04-2024 22:09:03,1.568s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:09:03,02-04-2024 22:09:04,0.291s,PASSED
