Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 22:08:30,02-04-2024 22:08:41,10.930s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 22:08:30,02-04-2024 22:08:41,10.718s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:08:30,02-04-2024 22:08:32,2.121s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 22:08:32,02-04-2024 22:08:34,1.910s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 22:08:34,02-04-2024 22:08:35,0.826s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 22:08:35,02-04-2024 22:08:36,0.826s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 22:08:36,02-04-2024 22:08:39,3.374s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 22:08:39,02-04-2024 22:08:40,1.095s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:08:40,02-04-2024 22:08:41,0.213s,PASSED
