Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 15:04:47,02-04-2024 15:04:58,11.112s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 15:04:47,02-04-2024 15:04:58,10.911s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:04:48,02-04-2024 15:04:49,1.834s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 15:04:49,02-04-2024 15:04:51,1.604s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 15:04:51,02-04-2024 15:04:52,0.864s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 15:04:52,02-04-2024 15:04:53,0.808s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 15:04:53,02-04-2024 15:04:57,4.433s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 15:04:57,02-04-2024 15:04:58,0.927s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:04:58,02-04-2024 15:04:58,0.168s,PASSED
