Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 22:32:24,02-04-2024 22:32:34,10.492s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 22:32:24,02-04-2024 22:32:34,10.268s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:32:24,02-04-2024 22:32:27,2.114s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 22:32:27,02-04-2024 22:32:28,1.633s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 22:32:28,02-04-2024 22:32:29,0.952s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 22:32:29,02-04-2024 22:32:30,0.827s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 22:32:30,02-04-2024 22:32:33,3.168s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 22:32:33,02-04-2024 22:32:34,1.014s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:32:34,02-04-2024 22:32:34,0.222s,PASSED
