Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 14:51:34,02-04-2024 14:51:50,16.230s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 14:51:34,02-04-2024 14:51:50,16.029s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 14:51:35,02-04-2024 14:51:38,2.766s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 14:51:38,02-04-2024 14:51:39,1.681s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 14:51:39,02-04-2024 14:51:41,1.511s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 14:51:41,02-04-2024 14:51:42,0.823s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 14:51:42,02-04-2024 14:51:46,4.044s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 14:51:46,02-04-2024 14:51:50,4.656s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 14:51:50,02-04-2024 14:51:50,0.225s,PASSED
