Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,03-04-2024 09:18:10,03-04-2024 09:18:20,10.818s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,03-04-2024 09:18:10,03-04-2024 09:18:20,10.585s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:18:10,03-04-2024 09:18:12,2.100s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:18:12,03-04-2024 09:18:14,1.417s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,03-04-2024 09:18:14,03-04-2024 09:18:15,0.957s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,03-04-2024 09:18:15,03-04-2024 09:18:15,0.790s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,03-04-2024 09:18:15,03-04-2024 09:18:19,3.704s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,03-04-2024 09:18:19,03-04-2024 09:18:20,1.022s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 09:18:20,03-04-2024 09:18:20,0.237s,PASSED
