Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 15:02:46,02-04-2024 15:03:29,43.862s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 15:02:46,02-04-2024 15:03:29,43.623s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:02:46,02-04-2024 15:02:48,2.080s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 15:02:48,02-04-2024 15:02:50,2.124s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 15:02:50,02-04-2024 15:02:51,0.909s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 15:02:51,02-04-2024 15:02:52,0.803s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 15:02:52,02-04-2024 15:02:56,3.798s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 15:02:56,02-04-2024 15:03:29,33.264s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:03:29,02-04-2024 15:03:29,0.338s,PASSED
