Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 14:30:13,02-04-2024 14:30:27,14.416s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 14:30:13,02-04-2024 14:30:27,14.202s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 14:30:13,02-04-2024 14:30:16,2.851s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 14:30:16,02-04-2024 14:30:18,1.625s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 14:30:18,02-04-2024 14:30:19,1.309s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 14:30:19,02-04-2024 14:30:20,1.046s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 14:30:20,02-04-2024 14:30:26,5.906s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 14:30:26,02-04-2024 14:30:27,0.911s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 14:30:27,02-04-2024 14:30:27,0.243s,PASSED
