Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 14:31:28,02-04-2024 14:31:39,11.598s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 14:31:28,02-04-2024 14:31:39,11.372s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 14:31:28,02-04-2024 14:31:30,2.143s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 14:31:30,02-04-2024 14:31:32,1.708s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 14:31:32,02-04-2024 14:31:33,0.832s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 14:31:33,02-04-2024 14:31:34,0.757s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 14:31:34,02-04-2024 14:31:38,4.507s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 14:31:38,02-04-2024 14:31:39,0.842s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 14:31:39,02-04-2024 14:31:39,0.229s,PASSED
