Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
youtube,Chrome 123.0.0.0,,,01-04-2024 15:01:14,01-04-2024 15:01:30,15.859s,PASSED
,,,,,,,
Test Cases/open youtube,Chrome 123.0.0.0,,,01-04-2024 15:01:14,01-04-2024 15:01:30,15.643s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,01-04-2024 15:01:14,01-04-2024 15:01:16,2.247s,PASSED
"navigateToUrl(""https://www.youtube.com/?themeRefresh=1"")",Chrome 123.0.0.0,,,01-04-2024 15:01:16,01-04-2024 15:01:22,5.013s,PASSED
"setText(findTestObject(""Object Repository/search youtube/Page_YouTube/input_Skip navigation_search_query""), ""katalon schedule test"")",Chrome 123.0.0.0,,,01-04-2024 15:01:22,01-04-2024 15:01:26,4.357s,PASSED
"click(findTestObject(""Object Repository/search youtube/Page_YouTube/div""))",Chrome 123.0.0.0,,,01-04-2024 15:01:26,01-04-2024 15:01:29,3.230s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,01-04-2024 15:01:29,01-04-2024 15:01:30,0.476s,PASSED
