Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
web iglo,Chrome 123.0.0.0,,,28-03-2024 13:37:17,28-03-2024 13:37:27,9.859s,PASSED
,,,,,,,
Test Cases/Web Iglo,Chrome 123.0.0.0,,,28-03-2024 13:37:17,28-03-2024 13:37:27,9.520s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,28-03-2024 13:37:18,28-03-2024 13:37:20,2.547s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,28-03-2024 13:37:20,28-03-2024 13:37:24,3.815s,PASSED
"click(findTestObject(""Object Repository/web iglo/Page_Home  Indocyber/a_About Us""))",Chrome 123.0.0.0,,,28-03-2024 13:37:24,28-03-2024 13:37:26,2.387s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,28-03-2024 13:37:26,28-03-2024 13:37:27,0.334s,PASSED
