Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,03-04-2024 09:20:53,03-04-2024 09:21:03,10.377s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,03-04-2024 09:20:53,03-04-2024 09:21:03,10.153s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:20:53,03-04-2024 09:20:55,2.022s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:20:55,03-04-2024 09:20:57,1.579s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,03-04-2024 09:20:57,03-04-2024 09:20:58,0.932s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,03-04-2024 09:20:58,03-04-2024 09:20:59,0.793s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,03-04-2024 09:20:59,03-04-2024 09:21:02,3.163s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,03-04-2024 09:21:02,03-04-2024 09:21:03,1.056s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 09:21:03,03-04-2024 09:21:03,0.269s,PASSED
