Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 22:29:36,02-04-2024 22:29:46,9.620s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 22:29:36,02-04-2024 22:29:46,9.388s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:29:37,02-04-2024 22:29:39,2.179s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 22:29:39,02-04-2024 22:29:40,1.461s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 22:29:40,02-04-2024 22:29:41,0.802s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 22:29:41,02-04-2024 22:29:42,0.795s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 22:29:42,02-04-2024 22:29:45,2.958s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 22:29:45,02-04-2024 22:29:46,0.639s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:29:46,02-04-2024 22:29:46,0.215s,PASSED
