Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,03-04-2024 10:58:28,03-04-2024 10:58:37,8.891s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,03-04-2024 10:58:29,03-04-2024 10:58:37,8.686s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 10:58:29,03-04-2024 10:58:31,2.024s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,03-04-2024 10:58:31,03-04-2024 10:58:32,1.271s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,03-04-2024 10:58:32,03-04-2024 10:58:33,0.830s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,03-04-2024 10:58:33,03-04-2024 10:58:34,0.790s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,03-04-2024 10:58:34,03-04-2024 10:58:37,2.791s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,03-04-2024 10:58:37,03-04-2024 10:58:37,0.520s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 10:58:37,03-04-2024 10:58:37,0.178s,PASSED
