Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 15:13:53,02-04-2024 15:14:06,13.070s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 15:13:53,02-04-2024 15:14:06,12.869s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:13:53,02-04-2024 15:13:56,2.247s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 15:13:56,02-04-2024 15:13:57,1.363s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 15:13:57,02-04-2024 15:13:58,0.919s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 15:13:58,02-04-2024 15:13:59,0.835s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 15:13:59,02-04-2024 15:14:04,5.862s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 15:14:04,02-04-2024 15:14:06,1.045s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:14:06,02-04-2024 15:14:06,0.274s,PASSED
