Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,03-04-2024 11:00:15,03-04-2024 11:00:26,10.646s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,03-04-2024 11:00:15,03-04-2024 11:00:26,10.448s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 11:00:16,03-04-2024 11:00:18,2.037s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,03-04-2024 11:00:18,03-04-2024 11:00:21,2.975s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,03-04-2024 11:00:21,03-04-2024 11:00:21,0.807s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,03-04-2024 11:00:21,03-04-2024 11:00:22,0.775s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,03-04-2024 11:00:22,03-04-2024 11:00:25,2.567s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,03-04-2024 11:00:25,03-04-2024 11:00:26,0.790s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 11:00:26,03-04-2024 11:00:26,0.195s,PASSED
