Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,02-04-2024 15:40:19,02-04-2024 15:40:31,12.065s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,02-04-2024 15:40:19,02-04-2024 15:40:31,11.838s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:40:20,02-04-2024 15:40:22,2.214s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 15:40:22,02-04-2024 15:40:23,1.357s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 15:40:23,02-04-2024 15:40:24,1.172s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,02-04-2024 15:40:24,02-04-2024 15:40:25,0.737s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,02-04-2024 15:40:25,02-04-2024 15:40:29,4.087s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,02-04-2024 15:40:29,02-04-2024 15:40:31,1.730s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:40:31,02-04-2024 15:40:31,0.213s,PASSED
