Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Tanjung duren,Chrome 123.0.0.0,,,02-04-2024 15:31:06,02-04-2024 15:31:22,15.619s,PASSED
,,,,,,,
Test Cases/Search Tanjung Duren,Chrome 123.0.0.0,,,02-04-2024 15:31:06,02-04-2024 15:31:22,15.405s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:31:07,02-04-2024 15:31:09,2.360s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,02-04-2024 15:31:09,02-04-2024 15:31:11,2.311s,PASSED
"setText(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/textarea_Login_q""), ""tanjung duren"")",Chrome 123.0.0.0,,,02-04-2024 15:31:11,02-04-2024 15:31:12,0.834s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_Google/span_Tanjung Duren Utara""))",Chrome 123.0.0.0,,,02-04-2024 15:31:12,02-04-2024 15:31:13,0.838s,PASSED
"click(findTestObject(""Object Repository/Search Tanjung duren/Page_tanjung duren - Penelusuran Google/h3_Tanjung Duren Utara, Grogol Petamburan, _9c911c""))",Chrome 123.0.0.0,,,02-04-2024 15:31:13,02-04-2024 15:31:21,7.686s,PASSED
"takeScreenshotAsCheckpoint(""3"")",Chrome 123.0.0.0,,,02-04-2024 15:31:21,02-04-2024 15:31:21,0.792s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:31:21,02-04-2024 15:31:22,0.235s,PASSED
