Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Iglo,Chrome 123.0.0.0,,,03-04-2024 09:28:07,03-04-2024 09:28:18,10.728s,PASSED
,,,,,,,
Test Cases/Search Indocyber,Chrome 123.0.0.0,,,03-04-2024 09:28:07,03-04-2024 09:28:18,10.485s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:28:08,03-04-2024 09:28:10,2.245s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:28:10,03-04-2024 09:28:12,2.241s,PASSED
"setText(findTestObject(""Object Repository/Search Iglo/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,03-04-2024 09:28:12,03-04-2024 09:28:13,0.830s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_Google/span_Indocyber Global Teknologi""))",Chrome 123.0.0.0,,,03-04-2024 09:28:13,03-04-2024 09:28:14,0.786s,PASSED
"takeScreenshotAsCheckpoint(""2"")",Chrome 123.0.0.0,,,03-04-2024 09:28:14,03-04-2024 09:28:17,2.626s,PASSED
"click(findTestObject(""Object Repository/Search Iglo/Page_indocyber global teknologi - Penelusur_63e8c8/h3_Indocyber Home""))",Chrome 123.0.0.0,,,03-04-2024 09:28:17,03-04-2024 09:28:18,1.174s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 09:28:18,03-04-2024 09:28:18,0.227s,PASSED
