Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
youtube,Chrome 123.0.0.0,,,02-04-2024 15:18:52,02-04-2024 15:19:05,13.277s,PASSED
,,,,,,,
Test Cases/open youtube,Chrome 123.0.0.0,,,02-04-2024 15:18:52,02-04-2024 15:19:05,13.026s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 15:18:52,02-04-2024 15:18:55,2.924s,PASSED
"navigateToUrl(""https://www.youtube.com/?themeRefresh=1"")",Chrome 123.0.0.0,,,02-04-2024 15:18:55,02-04-2024 15:19:01,5.344s,PASSED
"setText(findTestObject(""Object Repository/search youtube/Page_YouTube/input_Skip navigation_search_query""), ""katalon schedule test"")",Chrome 123.0.0.0,,,02-04-2024 15:19:01,02-04-2024 15:19:03,1.946s,PASSED
"click(findTestObject(""Object Repository/search youtube/Page_YouTube/div""))",Chrome 123.0.0.0,,,02-04-2024 15:19:03,02-04-2024 15:19:04,1.770s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 15:19:04,02-04-2024 15:19:05,0.687s,PASSED
